s2aq2,s2aq4,weight,exp,lnw
None,Yes,499.854,-10,
None,Yes,499.854,-12,
.,.,,,
M4,No,499.854,28,
JSS1/JHS1,No,499.854,21,
P6,Yes,499.854,-1,
P4,Yes,499.854,-2,
P1,Yes,499.854,-8,
P6,No,499.854,10,7.090077
Pre school,Yes,499.854,-10,
.,.,,,
JSS3/JHS3,No,519.922,13,
SSS3/SHS3,No,519.922,7,
.,.,,,
P2,Yes,519.922,-3,
M1,No,519.922,61,
M4,No,519.922,45,
JSS1/JHS1,No,519.922,3,
.,.,519.922,,
M1,No,519.922,24,6.948897
JSS/JHS 2,No,519.922,7,7.354362
JSS/JHS 2,Yes,519.922,0,
P5,Yes,519.922,-3,
P2,Yes,519.922,-6,
.,.,,,
M4,No,519.922,43,
M4,No,519.922,45,
P6,No,519.922,12,7.864938
.,.,519.922,,
Pre school,Yes,519.922,-9,
.,.,,,
.,.,519.922,,7.863113
P4,Yes,519.922,-2,
P2,Yes,519.922,-3,
Pre school,Yes,519.922,-7,
M4,No,519.922,27,
P1,No,519.922,24,5.075174
P6,Yes,519.922,-1,
P2,Yes,519.922,-6,
.,.,,,
JSS3/JHS3,No,519.922,9,9.017363
JSS3/JHS3,No,519.922,8,
.,.,,,
P5,No,519.922,28,8.443332
M4,No,519.922,51,8.517993
Voc//Tec,No,519.922,,
P4,Yes,519.922,0,
Pre school,Yes,519.922,-9,
M3,No,519.922,38,
P6,No,519.922,11,
Pre school,Yes,519.922,-11,
.,.,519.922,,7.17012
JSS1/JHS1,Yes,519.922,1,
P5,No,519.922,20,8.752301
.,.,,,
P4,Yes,519.922,-3,
P2,Yes,519.922,-5,
Pre school,Yes,519.922,-10,
P2,No,519.922,26,8.849365
JSS3/JHS3,No,519.922,27,8.038932
P6,Yes,519.922,-1,
P2,Yes,519.922,-5,
Pre school,Yes,519.922,-9,
.,.,,,
S5,No,519.922,,
M4,No,519.922,39,7.508513
SSS3/SHS3,Yes,519.922,-1,
P3,Yes,519.922,-6,
M4,No,466.376,39,
P2,Yes,466.376,-6,
P1,Yes,466.376,-7,
Pre school,Yes,466.376,-12,
M3,No,466.376,27,9.346836
JSS1/JHS1,Yes,466.376,-2,
P6,No,466.376,17,8.51979
P5,Yes,466.376,-2,
P2,Yes,466.376,-5,
Pre school,Yes,466.376,-7,
None,Yes,466.376,-12,
JSS3/JHS3,No,466.376,11,8.517993
JSS3/JHS3,No,466.376,4,
.,.,,,
S5,No,466.376,,
P5,No,466.376,5,8.253423
S5,No,466.376,,
Voc//Tec,No,466.376,,
M4,No,466.376,33,9.346836
SHS4,Yes,466.376,,
Pre school,Yes,466.376,-11,
.,.,466.376,,
M4,No,466.376,26,
JSS3/JHS3,No,466.376,18,
P2,Yes,466.376,-6,
Pre school,Yes,466.376,-12,
.,.,466.376,,9.141418
P5,No,466.376,7,8.717733
Pre school,Yes,466.376,-11,
.,.,,,
JSS1/JHS1,Yes,466.376,0,8.752301
M4,No,466.376,46,
P4,Yes,466.376,-4,
P4,Yes,466.376,-4,
JSS/JHS 2,No,466.376,12,
Pre school,Yes,466.376,-11,
.,.,,,
University,No,466.376,25,
M3,No,466.376,24,9.346836
University,Yes,466.376,-1,
SS1/SHS1,Yes,466.376,3,
P6,Yes,466.376,-2,
Pre school,Yes,466.376,-9,
M4,No,466.376,28,
SSS2/SHS2,Yes,466.376,4,
JSS3/JHS3,No,466.376,15,
P6,No,466.376,14,
Pre school,Yes,466.376,-8,
None,Yes,466.376,-12,
.,.,,,
P4,No,432.037,18,7.863113
P6,Yes,432.037,0,
P3,Yes,432.037,-4,
None,Yes,432.037,-10,
P6,No,432.037,39,10.00728
JSS/JHS 2,Yes,432.037,7,
JSS1/JHS1,Yes,432.037,1,
Pre school,Yes,432.037,-11,
.,.,,,
P6,No,432.037,12,
P6,No,432.037,26,8.251664
JSS1/JHS1,Yes,432.037,3,
JSS/JHS 2,Yes,432.037,-1,
Pre school,Yes,432.037,-8,
None,Yes,432.037,-11,
.,.,432.037,,
SSS3/SHS3,No,432.037,15,8.517993
JSS3/JHS3,No,432.037,18,7.507141
P3,Yes,432.037,-4,
.,.,,,
None,Yes,432.037,-10,
.,.,,,
P5,No,432.037,5,
.,.,,,
Voc//Tec,No,432.037,,
Voc//Tec,No,432.037,,
JSS1/JHS1,No,432.037,15,8.51979
P2,No,432.037,13,7.354362
P2,Yes,432.037,-3,
Pre school,Yes,432.037,-6,
.,.,,,
Pre school,Yes,432.037,-7,
None,Yes,432.037,-11,
JSS3/JHS3,No,432.037,14,8.87801
Voc//Tec,No,432.037,,
M2,No,432.037,34,8.517993
JSS1/JHS1,No,432.037,12,6.733402
SSS3/SHS3,No,432.037,5,
JSS3/JHS3,No,432.037,4,
JSS1/JHS1,No,432.037,4,
JSS1/JHS1,No,432.037,5,
Pre school,Yes,432.037,-7,
None,Yes,432.037,-8,
SS1/SHS1,Yes,432.037,6,6.25575
M4,No,432.037,48,10.24708
M4,No,432.037,44,6.592222
Nursing,No,432.037,5,9.251482
JSS3/JHS3,No,432.037,8,2.995732
P6,Yes,432.037,-3,
P1,Yes,432.037,-7,
Pre school,Yes,432.037,-10,
.,.,,,
.,.,432.037,,9.346836
P3,No,432.037,10,
Pre school,Yes,432.037,-9,
.,.,,,
M4,No,450.786,37,8.187091
M2,No,450.786,26,
JSS/JHS 2,Yes,450.786,3,
JSS1/JHS1,Yes,450.786,0,
P5,Yes,450.786,-2,
P3,Yes,450.786,-6,
P1,Yes,450.786,-8,
M4,No,450.786,46,6.253829
P1,No,450.786,25,
JSS3/JHS3,No,450.786,3,
P3,Yes,450.786,0,
P1,Yes,450.786,-5,
.,.,450.786,,7.863113
JSS1/JHS1,No,450.786,6,7.17012
M4,No,450.786,32,
M4,No,450.786,25,
University,Yes,450.786,-2,
JSS3/JHS3,No,450.786,5,
SHS4,No,450.786,,7.272398
SSS3/SHS3,Yes,450.786,0,
SSS3/SHS3,No,450.786,13,8.881836
SSS3/SHS3,No,450.786,8,
P3,Yes,450.786,-5,
Pre school,Yes,450.786,-8,
None,Yes,450.786,-12,
M4,No,450.786,47,
.,.,450.786,,8.150208
P3,Yes,450.786,-4,
P1,Yes,450.786,-6,
P1,Yes,450.786,-7,
.,.,450.786,,
U6,No,450.786,,
U6,No,450.786,,
SHS4,No,450.786,,6.866933
JSS1/JHS1,Yes,450.786,-2,
P3,Yes,450.786,-4,
P6,No,450.786,25,8.961879
M4,No,450.786,24,
M4,No,450.786,27,8.510773
P1,Yes,450.786,-8,
None,Yes,450.786,-12,
JSS3/JHS3,No,450.786,13,7.863113
P2,Yes,450.786,-7,
None,Yes,450.786,-11,
P5,No,450.786,41,
JSS3/JHS3,No,450.786,10,
P6,No,450.786,8,
JSS/JHS 2,Yes,450.786,3,
P5,Yes,450.786,1,5.051777
P5,Yes,450.786,-1,
None,No,450.786,-9,
.,.,450.786,,7.863113
SSS3/SHS3,Yes,450.786,2,
.,.,450.786,,8.185239
JSS/JHS 2,No,450.786,6,
JSS1/JHS1,Yes,450.786,-3,
P3,Yes,450.786,-5,
P2,Yes,450.786,-7,
None,Yes,450.786,-11,
None,Yes,450.786,-12,
.,.,,,
M4,No,450.786,44,8.006368
P5,No,450.786,25,
P6,No,450.786,29,6.733402
JSS/JHS 2,Yes,450.786,5,
P2,Yes,450.786,-6,
Voc//Tec,No,372.862,,
.,.,372.862,,
.,.,372.862,,
.,.,372.862,,8.702427
.,.,372.862,,7.783224
SSS2/SHS2,Yes,372.862,5,
P6,Yes,372.862,2,
P4,Yes,372.862,-2,
P3,Yes,372.862,-4,
P3,Yes,372.862,-4,
.,.,372.862,,
P5,No,372.862,21,
P5,Yes,372.862,-2,
P1,Yes,372.862,-6,
Pre school,Yes,372.862,-9,
Pre school,Yes,372.862,-11,
Pre school,Yes,372.862,-12,
.,.,,,
P5,No,372.862,57,
P5,No,372.862,-2,
P3,Yes,372.862,-4,
SSS3/SHS3,No,372.862,8,
.,.,372.862,,
.,.,372.862,,
JSS3/JHS3,No,372.862,4,
JSS1/JHS1,No,372.862,1,
P6,Yes,372.862,0,
P5,Yes,372.862,-2,
P2,Yes,372.862,-7,
JSS3/JHS3,No,372.862,27,
.,.,372.862,,
JSS1/JHS1,Yes,372.862,3,
P5,Yes,372.862,-1,
P4,Yes,372.862,-2,
P1,Yes,372.862,-4,
Pre school,Yes,372.862,-9,
.,.,,,
.,.,,,
M4,No,372.862,39,
M4,No,372.862,34,
S4,Yes,372.862,5,
JSS3/JHS3,Yes,372.862,5,
JSS3/JHS3,Yes,372.862,3,
P5,Yes,372.862,-3,
P2,Yes,372.862,-5,
Pre school,Yes,372.862,-10,
.,.,372.862,,
P2,No,372.862,35,
P3,No,372.862,29,
JSS/JHS 2,Yes,372.862,4,
JSS1/JHS1,Yes,372.862,0,
P2,Yes,372.862,-6,
Pre school,Yes,372.862,-9,
M2,No,372.862,33,10.07451
.,.,372.862,,9.139649
JSS/JHS 2,Yes,372.862,5,
P2,Yes,372.862,-6,
Pre school,Yes,372.862,-11,
.,.,372.862,,5.500442
JSS3/JHS3,No,372.862,13,6.39693
M4,No,372.862,48,7.090077
P4,No,372.862,33,
Pre school,No,372.862,-1,
P2,Yes,372.862,-3,
P2,Yes,372.862,-5,
P1,No,372.862,56,7.090077
M4,No,372.862,42,6.39693
JSS3/JHS3,No,372.862,8,
JSS3/JHS3,Yes,372.862,3,
P6,No,372.862,1,
P6,Yes,372.862,-1,
P4,Yes,372.862,-3,
P1,Yes,372.862,-7,
.,.,372.862,,6.473891
P5,No,372.862,14,9.139649
Pre school,Yes,372.862,-7,
P4,Yes,372.862,0,
Pre school,Yes,372.862,-10,
Pre school,Yes,372.862,-12,
M4,No,372.862,21,7.600903
Pre school,Yes,372.862,-8,
S5,No,507.658,,
P5,No,507.658,28,7.757906
P3,Yes,507.658,-3,
M4,No,507.658,38,7.864938
M2,No,507.658,34,9.518376
tech training,No,507.658,7,
SSS3/SHS3,Yes,507.658,0,
SS1/SHS1,Yes,507.658,2,
P6,Yes,507.658,1,
Pre school,Yes,507.658,-9,
JSS/JHS 2,Yes,507.658,5,
.,.,507.658,,7.863113
M4,No,507.658,40,7.172041
M3,No,507.658,35,7.864938
JSS3/JHS3,No,507.658,17,7.172041
P5,No,507.658,13,
SSS3/SHS3,No,507.658,18,
SSS3/SHS3,No,507.658,8,
P1,Yes,507.658,-6,
.,.,507.658,,
SSS3/SHS3,No,507.658,12,6.25575
SSS3/SHS3,No,507.658,9,9.346836
Pre school,Yes,507.658,-11,
.,.,,,
M4,No,507.658,29,8.51979
P3,No,507.658,22,7.172041
P4,Yes,507.658,0,
P2,Yes,507.658,-2,
Pre school,Yes,507.658,-5,
Pre school,Yes,507.658,-8,
.,.,507.658,,
.,.,507.658,,7.864938
P3,No,507.658,23,6.661215
P4,Yes,507.658,-4,
Pre school,Yes,507.658,-8,
Pre school,Yes,507.658,-10,
JSS3/JHS3,No,507.658,12,6.661215
JSS3/JHS3,No,507.658,7,
Pre school,Yes,507.658,-10,
Pre school,Yes,507.658,-12,
.,.,507.658,,
M4,No,507.658,45,7.172041
.,.,507.658,,
P5,Yes,507.658,2,
P2,Yes,507.658,-6,
P5,No,507.658,13,7.864938
M4,No,507.658,37,7.864938
.,.,507.658,,8.51979
JSS3/JHS3,No,507.658,5,7.17012
JSS1/JHS1,Yes,507.658,4,
P6,Yes,507.658,1,
P4,Yes,507.658,-2,
P3,Yes,507.658,-6,
P6,No,507.658,34,7.172041
JSS3/JHS3,No,507.658,3,
P4,Yes,507.658,-2,
P2,Yes,507.658,-5,
P5,No,507.658,84,
M4,No,327.66,39,8.51979
P3,No,327.66,17,
None,Yes,327.66,-12,
P2,Yes,327.66,-3,
M4,No,327.66,27,
P5,Yes,327.66,0,
M4,No,327.66,28,6.25575
SSS3/SHS3,Yes,327.66,1,
P4,No,327.66,28,
P4,Yes,327.66,-2,
None,Yes,327.66,-8,
M4,No,327.66,30,
SS1/SHS1,Yes,327.66,3,
P6,Yes,327.66,-3,
M4,No,327.66,41,
JSS1/JHS1,No,327.66,13,
Polytechnic,Yes,327.66,7,
P5,No,327.66,11,
JSS3/JHS3,No,327.66,9,6.958848
JSS1/JHS1,No,327.66,3,
P3,Yes,327.66,-2,
None,Yes,327.66,-9,
P2,Yes,327.66,-5,
Pre school,Yes,327.66,-8,
Pre school,Yes,327.66,-8,
None,Yes,327.66,-11,
.,.,,,
P3,No,327.66,45,6.579251
JSS1/JHS1,Yes,327.66,-1,
P3,Yes,327.66,-5,
P2,Yes,327.66,-5,
None,Yes,327.66,-9,
None,Yes,327.66,-12,
M4,No,327.66,37,8.51979
M4,No,327.66,39,
SSS3/SHS3,Yes,327.66,6,
SS1/SHS1,Yes,327.66,5,
JSS3/JHS3,Yes,327.66,1,
JSS3/JHS3,No,327.66,20,
P5,No,327.66,13,
Pre school,Yes,327.66,-10,
.,.,,,
JSS3/JHS3,No,327.66,19,8.816518
SSS3/SHS3,No,327.66,18,
P2,Yes,327.66,-6,
Pre school,Yes,327.66,-8,
None,Yes,327.66,-12,
M4,No,327.66,27,
JSS3/JHS3,No,327.66,17,6.948897
JSS3/JHS3,No,327.66,2,
P6,Yes,327.66,-2,
Pre school,Yes,327.66,-7,
.,.,,,
M4,No,327.66,29,
.,.,,,
SS1/SHS1,Yes,327.66,2,
P3,Yes,327.66,-3,
P6,Yes,327.66,-1,
M4,No,327.66,41,
JSS/JHS 2,Yes,327.66,-1,
.,.,,,
P4,Yes,327.66,-3,
P4,No,327.66,65,
JSS/JHS 2,Yes,327.66,2,
P2,No,327.66,67,
M4,No,327.66,41,7.354362
Voc//Tec,Yes,327.66,,
.,.,,,
.,.,,,
M4,No,352.361,40,8.188689
M4,No,352.361,36,7.783224
SSS3/SHS3,No,352.361,2,
SHS4,Yes,352.361,,
SSS2/SHS2,Yes,352.361,1,
.,.,352.361,,6.173786
JSS3/JHS3,No,352.361,3,6.173786
M4,No,352.361,22,8.476371
JSS3/JHS3,No,352.361,22,7.495542
P4,Yes,352.361,-3,
Pre school,Yes,352.361,-8,
.,.,,,
M4,No,352.361,53,6.173786
SSS3/SHS3,No,352.361,4,7.495542
P4,Yes,352.361,-5,
Pre school,Yes,352.361,-7,
S5,No,352.361,,8.881836
M4,No,352.361,42,7.620705
JSS1/JHS1,Yes,352.361,-2,
SS1/SHS1,Yes,352.361,4,
M4,No,352.361,61,
M4,No,352.361,40,7.783224
P1,Yes,352.361,-6,
M3,No,352.361,34,7.783224
JSS3/JHS3,Yes,352.361,3,
M2,No,352.361,36,7.783224
JSS3/JHS3,No,352.361,5,
JSS3/JHS3,Yes,352.361,3,
P5,Yes,352.361,-1,
JSS1/JHS1,No,352.361,9,7.352441
Pre school,Yes,352.361,-10,
P4,No,352.361,31,8.188689
.,.,352.361,,3.178054
Pre school,Yes,352.361,-9,
.,.,352.361,,
M4,No,352.361,54,8.699514
M4,No,352.361,51,7.090077
.,.,352.361,,8.188689
.,.,352.361,,7.090077
None,Yes,352.361,-12,
.,.,,,
.,.,352.361,,8.188689
JSS1/JHS1,No,352.361,14,7.090077
P3,Yes,352.361,-1,
Pre school,Yes,352.361,-6,
Pre school,Yes,352.361,-8,
Pre school,Yes,352.361,-10,
M4,No,352.361,22,8.188689
M3,No,410.603,29,
JSS3/JHS3,Yes,410.603,3,
P2,Yes,410.603,-4,
Pre school,Yes,410.603,-8,
M2,No,410.603,35,6.032607
JSS3/JHS3,No,410.603,11,6.948897
JSS3/JHS3,No,410.603,8,
SSS2/SHS2,Yes,410.603,5,
JSS1/JHS1,Yes,410.603,1,
JSS3/JHS3,No,410.603,14,
JSS3/JHS3,No,410.603,9,
None,Yes,410.603,-9,
.,.,,,
.,.,410.603,,5.339459
M4,No,410.603,41,
JSS/JHS 2,Yes,410.603,2,
SSS3/SHS3,No,410.603,13,
JSS1/JHS1,No,410.603,12,
Pre school,Yes,410.603,-8,
.,.,410.603,,
JSS3/JHS3,No,410.603,23,9.348634
SS1/SHS1,Yes,410.603,5,
JSS/JHS 2,Yes,410.603,2,
JSS1/JHS1,Yes,410.603,0,
P3,Yes,410.603,-3,
JSS1/JHS1,No,410.603,11,
M4,No,410.603,27,7.600903
JSS3/JHS3,No,410.603,23,
P4,Yes,410.603,2,
P2,Yes,410.603,-1,
Pre school,Yes,410.603,-3,
.,.,410.603,,
.,.,,,
JSS/JHS 2,No,410.603,23,
.,.,410.603,,
Pre school,Yes,410.603,-3,
.,.,410.603,,
.,.,410.603,,
S4,No,410.603,30,9.487972
M1,No,410.603,27,9.44284
SS1/SHS1,Yes,410.603,3,
P3,Yes,410.603,-5,
JSS3/JHS3,No,410.603,8,
JSS3/JHS3,No,410.603,5,
JSS/JHS 2,Yes,410.603,2,
JSS3/JHS3,Yes,410.603,2,
.,.,410.603,,8.17459
.,.,410.603,,
M4,No,410.603,43,
.,.,410.603,,
P3,Yes,410.603,-3,
P1,Yes,410.603,-5,
None,Yes,410.603,-9,
.,.,410.603,,
.,.,,,
P5,No,410.603,25,
P2,No,410.603,24,
JSS3/JHS3,Yes,410.603,4,
JSS/JHS 2,Yes,410.603,2,
JSS1/JHS1,Yes,410.603,1,
None,Yes,410.603,-8,
.,.,410.603,,
.,.,,,
Voc//Tec,No,410.603,,
P1,No,410.603,17,
P6,No,410.603,34,
.,.,410.603,,
SS1/SHS1,Yes,410.603,5,
P6,No,410.603,3,
P5,Yes,410.603,1,
P6,Yes,410.603,-1,
P6,Yes,410.603,-2,
P3,Yes,410.603,-3,
P3,Yes,410.603,-5,
Pre school,Yes,410.603,-7,
Pre school,Yes,410.603,-10,
.,.,,,
.,.,410.603,,
JSS3/JHS3,No,410.603,23,
P5,No,410.603,15,
Pre school,Yes,410.603,-5,
None,Yes,410.603,-9,
.,.,,,
JSS/JHS 2,No,398.17,10,
P2,Yes,398.17,-6,
None,Yes,398.17,-9,
None,Yes,398.17,-12,
.,.,,,
M2,No,398.17,31,
JSS/JHS 2,No,398.17,6,8.038932
.,.,,,
.,.,,,
SSS3/SHS3,No,398.17,4,8.253423
JSS1/JHS1,Yes,398.17,3,
P3,No,398.17,3,7.172041
JSS/JHS 2,No,398.17,3,7.172041
M2,No,398.17,34,7.172041
JSS1/JHS1,Yes,398.17,6,
JSS/JHS 2,Yes,398.17,2,
None,Yes,398.17,-9,
None,Yes,398.17,-11,
JSS3/JHS3,No,398.17,20,7.354362
JSS1/JHS1,No,398.17,20,8.517993
.,.,,,
P6,No,398.17,32,10.00914
JSS3/JHS3,Yes,398.17,7,
JSS3/JHS3,Yes,398.17,4,
JSS1/JHS1,Yes,398.17,2,
P1,Yes,398.17,-6,
M4,No,398.17,32,7.172041
M4,No,398.17,32,8.87801
P4,No,398.17,44,7.354362
P4,Yes,398.17,-6,
Pre school,Yes,398.17,-10,
JSS3/JHS3,No,398.17,20,7.272398
P6,No,398.17,19,6.948897
P3,Yes,398.17,-1,
None,Yes,398.17,-12,
JSS/JHS 2,No,398.17,15,5.968068
Pre school,Yes,398.17,-9,
M1,No,398.17,34,8.368612
M4,No,398.17,30,7.354362
JSS3/JHS3,No,398.17,3,
P5,Yes,398.17,-3,
P3,Yes,398.17,-2,
M4,No,398.17,42,7.495542
JSS3/JHS3,No,398.17,11,
.,.,398.17,,8.879733
P5,Yes,398.17,-3,
.,.,398.17,,9.346836
JSS/JHS 2,Yes,398.17,4,
P6,Yes,398.17,1,
P3,Yes,398.17,-3,
P1,Yes,398.17,-7,
M4,No,398.17,59,4.35863
.,.,398.17,,3.953165
P3,Yes,398.17,-2,
Pre school,Yes,398.17,-5,
Pre school,Yes,398.17,-8,
University,Yes,362.47,22,11.86429
Nursing,No,362.47,8,10.50425
.,.,,,
SHS4,Yes,362.47,,
P2,Yes,362.47,-8,
P2,Yes,362.47,-7,
M4,No,362.47,19,
JSS1/JHS1,Yes,362.47,-1,
P2,Yes,362.47,-5,
None,Yes,362.47,-9,
M4,No,362.47,30,6.907755
P6,No,362.47,29,7.354362
M4,No,362.47,31,8.879733
P2,Yes,362.47,-3,
None,Yes,362.47,-9,
SHS4,Yes,362.47,,
P1,No,362.47,45,5.703783
None,Yes,362.47,-12,
tech training,Yes,362.47,4,9.1442
.,.,362.47,,5.703783
.,.,362.47,,7.864938
JSS1/JHS1,Yes,362.47,1,
P3,Yes,362.47,-3,
None,Yes,362.47,-8,
M4,No,362.47,35,6.214608
JSS/JHS 2,No,362.47,22,5.703783
None,Yes,362.47,-12,
.,.,,,
JSS3/JHS3,No,362.47,15,5.298317
P3,Yes,362.47,-6,
Pre school,Yes,362.47,-8,
None,Yes,362.47,-11,
P6,No,362.47,63,
P6,No,362.47,63,
M4,No,362.47,59,
.,.,362.47,,6.25575
P2,Yes,362.47,-5,
None,Yes,362.47,-10,
.,.,362.47,,7.508513
JSS3/JHS3,No,362.47,5,
JSS3/JHS3,No,362.47,2,
JSS1/JHS1,No,362.47,0,
P5,Yes,362.47,-5,
None,Yes,362.47,-11,
JSS3/JHS3,No,362.47,20,8.443332
JSS3/JHS3,No,362.47,7,7.090077
.,.,,,
JSS/JHS 2,No,362.47,18,6.946976
JSS1/JHS1,Yes,362.47,1,
P4,Yes,362.47,-3,
P3,Yes,362.47,-5,
P6,No,362.47,27,8.312675
JSS3/JHS3,No,362.47,10,9.141418
.,.,,,
.,.,252.673,,
JSS3/JHS3,No,252.673,9,
None,Yes,252.673,-11,
M4,No,252.673,26,
JSS1/JHS1,No,252.673,21,
JSS1/JHS1,No,252.673,3,
P6,Yes,252.673,1,
P1,Yes,252.673,-5,
None,Yes,252.673,-7,
.,.,,,
P4,No,252.673,28,
P4,Yes,252.673,-3,
P1,Yes,252.673,-6,
None,Yes,252.673,-8,
M2,No,252.673,60,
M3,No,252.673,39,
.,.,252.673,,
.,.,252.673,,
.,.,252.673,,
M4,No,252.673,38,
P6,Yes,252.673,5,
P4,Yes,252.673,-3,
P3,Yes,252.673,-7,
None,Yes,252.673,-11,
M4,No,252.673,37,
.,.,252.673,,
M4,No,252.673,46,
M4,No,252.673,35,
SHS4,No,252.673,,
JSS3/JHS3,No,252.673,4,
JSS3/JHS3,Yes,252.673,1,
P1,Yes,252.673,-6,
JSS3/JHS3,No,252.673,20,
M2,No,252.673,33,
.,.,252.673,,
P5,Yes,252.673,-2,
None,Yes,252.673,-9,
.,.,252.673,,
M3,No,252.673,24,
JSS/JHS 2,No,325.927,20,7.642045
P6,No,325.927,19,8.17459
JSS1/JHS1,Yes,325.927,1,
P3,Yes,325.927,-3,
None,Yes,325.927,-12,
JSS3/JHS3,No,325.927,30,7.783224
SHS4,No,325.927,,
SS1/SHS1,Yes,325.927,3,
JSS3/JHS3,Yes,325.927,2,
JSS/JHS 2,Yes,325.927,0,
P6,Yes,325.927,-2,
P4,Yes,325.927,-4,
P5,Yes,325.927,-2,
JSS/JHS 2,No,325.927,6,9.794258
JSS3/JHS3,No,325.927,8,
.,.,325.927,,
.,.,,,
.,.,325.927,,6.25575
.,.,325.927,,7.642045
.,.,325.927,,7.864938
.,.,325.927,,5.205928
P6,No,325.927,3,
P4,Yes,325.927,0,
.,.,325.927,,7.642045
SHS4,No,325.927,,
P6,No,325.927,23,
P6,No,325.927,20,8.187091
JSS1/JHS1,Yes,325.927,1,
P5,Yes,325.927,-2,
.,.,325.927,,
.,.,325.927,,6.25575
P6,No,325.927,30,6.661215
P5,Yes,325.927,0,
P4,Yes,325.927,-4,
P3,Yes,325.927,-5,
Pre school,Yes,325.927,-8,
M4,No,325.927,51,
P6,No,325.927,25,5.562603
P6,Yes,325.927,0,
Pre school,Yes,325.927,-3,
M4,No,325.927,53,7.090077
P6,No,325.927,41,5.899075
P2,Yes,325.927,-5,
JSS3/JHS3,No,325.927,28,7.864938
P2,Yes,325.927,-5,
P1,Yes,325.927,-7,
None,Yes,325.927,-10,
JSS1/JHS1,No,325.927,18,9.348634
P6,Yes,325.927,-1,
.,.,,,
JSS3/JHS3,No,325.927,14,9.520194
SSS3/SHS3,Yes,325.927,-1,
SSS2/SHS2,Yes,325.927,1,
.,.,,,
JSS3/JHS3,No,325.927,30,6.948897
.,.,325.927,,
.,.,325.927,,
P3,No,340.679,54,8.064636
M4,No,340.679,29,
P5,Yes,340.679,1,
P6,Yes,340.679,-2,
M4,No,340.679,37,8.274867
P5,No,340.679,31,5.480639
P1,Yes,340.679,-5,
M4,No,340.679,33,8.740461
P3,No,340.679,22,6.39693
JSS1/JHS1,No,340.679,1,
P4,Yes,340.679,-3,
P1,Yes,340.679,-7,
None,Yes,340.679,-12,
JSS3/JHS3,No,340.679,22,8.129175
JSS3/JHS3,No,340.679,19,6.39693
P6,Yes,340.679,2,
JSS1/JHS1,Yes,340.679,0,
P3,Yes,340.679,-5,
None,Yes,340.679,-11,
M4,No,340.679,40,
M4,No,340.679,37,5.886104
.,.,340.679,,7.148346
M4,No,340.679,38,
P6,Yes,340.679,-1,
U6,No,340.679,,8.987197
M4,No,340.679,31,8.073574
JSS1/JHS1,No,340.679,16,7.508513
JSS3/JHS3,No,340.679,8,6.25575
JSS1/JHS1,Yes,340.679,-1,
Pre school,Yes,340.679,-8,
P2,No,340.679,1,
None,Yes,340.679,-8,
M4,No,340.679,28,8.064636
P5,No,340.679,21,6.866933
JSS1/JHS1,Yes,340.679,-2,
Pre school,Yes,340.679,-7,
None,Yes,340.679,-10,
None,Yes,340.679,-12,
.,.,,,
M4,No,340.679,25,7.999544
P5,No,340.679,18,7.090077
None,Yes,340.679,-10,
S2,No,340.679,36,8.380136
JSS3/JHS3,No,340.679,22,7.354362
JSS1/JHS1,Yes,340.679,0,
P4,Yes,340.679,-3,
P2,Yes,340.679,-6,
None,Yes,340.679,-9,
None,Yes,340.679,-12,
None,Yes,340.679,-7,
P6,No,340.679,16,6.214608
P4,No,340.679,7,
.,.,,,
P5,No,340.679,30,8.064636
M4,No,340.679,30,8.517993
JSS1/JHS1,Yes,340.679,0,
None,Yes,340.679,-8,
None,Yes,340.679,-10,
.,.,,,
.,.,340.679,,5.480639
.,.,340.679,,6.802395
None,Yes,340.679,-10,
None,Yes,340.679,-12,
M4,No,340.679,36,7.377759
JSS1/JHS1,Yes,340.679,2,
P5,Yes,340.679,2,
P3,Yes,340.679,-4,
Pre school,Yes,340.679,-9,
.,.,340.679,,
M4,No,258.376,37,7.824046
JSS1/JHS1,No,258.376,27,
P5,Yes,258.376,3,
P3,No,258.376,32,7.438384
P3,Yes,258.376,-2,
P2,Yes,258.376,-4,
M4,No,258.376,60,6.984716
P1,Yes,258.376,-3,
Pre school,Yes,258.376,-6,
M4,No,258.376,35,6.455199
P6,No,258.376,30,5.356586
P3,Yes,258.376,0,
P3,Yes,258.376,-5,
Pre school,Yes,258.376,-8,
P4,No,258.376,12,6.948897
JSS3/JHS3,No,258.376,5,
.,.,,,
P4,No,258.376,32,7.148346
P5,No,258.376,8,
.,.,258.376,,7.354362
.,.,258.376,,
Pre school,Yes,258.376,-7,
None,Yes,258.376,-12,
.,.,258.376,,7.659172
M4,No,258.376,28,2.302585
.,.,258.376,,6.907755
P5,Yes,258.376,-1,
P1,Yes,258.376,-3,
P2,Yes,258.376,-5,
Pre school,Yes,258.376,-8,
.,.,,,
P5,No,258.376,21,6.948897
JSS3/JHS3,No,258.376,14,
.,.,,,
P2,No,258.376,35,8.10772
.,.,258.376,,
.,.,258.376,,7.824046
.,.,258.376,,4.60517
M4,No,258.376,28,7.600903
P4,No,258.376,25,7.090077
.,.,258.376,,
M1,No,258.376,33,6.866933
P5,No,258.376,19,7.999544
JSS3/JHS3,No,258.376,15,7.090077
P1,Yes,258.376,-7,
.,.,,,
M4,No,2093.79,23,7.495542
M4,No,2093.79,30,8.17459
SSS2/SHS2,Yes,2093.79,2,
.,.,2093.79,,7.919938
