Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Solomon Islands,SLB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Somalia,SOM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Somalia,SOM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
South Africa,ZAF,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
South Africa,ZAF,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
South Asia,SAS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,36.2,34.5,32.6,30.8,..
South Asia,SAS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,85.2,83.8,82.1,80.1,..
South Asia (IDA & IBRD),TSA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
South Asia (IDA & IBRD),TSA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
South Sudan,SSD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
South Sudan,SSD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Spain,ESP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.5,1,1.1,..,..
Spain,ESP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,3.4,2.2,2.4,..,..
Sri Lanka,LKA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sri Lanka,LKA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
St. Kitts and Nevis,KNA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Kitts and Nevis,KNA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
St. Lucia,LCA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Lucia,LCA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
St. Martin (French part),MAF,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Martin (French part),MAF,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sub-Saharan Africa,SSF,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sub-Saharan Africa,SSF,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Sudan,SDN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sudan,SDN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Suriname,SUR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,6.6,..,..
Suriname,SUR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,20.9,..,..
Sweden,SWE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.5,0.9,1.3,..,..
Sweden,SWE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1,1.5,1.7,..,..
Switzerland,CHE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,..,..,..
Switzerland,CHE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.1,0.2,..,..,..
Syrian Arab Republic,SYR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,39.3,..,..
Syrian Arab Republic,SYR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,87.9,..,..
Tajikistan,TJK,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tajikistan,TJK,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Tanzania,TZA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tanzania,TZA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Thailand,THA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,3.1,2.8,2.4,1.7,..
Thailand,THA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,15.1,14.1,12.9,10.1,..
Timor-Leste,TLS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Timor-Leste,TLS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Togo,TGO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,47.5,..,..,..
Togo,TGO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,87,..,..,..
Tonga,TON,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,6.2,..,..,..
Tonga,TON,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,26.7,..,..,..
Trinidad and Tobago,TTO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Trinidad and Tobago,TTO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Tunisia,TUN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,5.3,..,..,..
Tunisia,TUN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,20.7,..,..,..
Turkiye,TUR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,4.6,3.6,2.7,..,..
Turkiye,TUR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,15,12.9,10.8,..,..
Turkmenistan,TKM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Turkmenistan,TKM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Turks and Caicos Islands,TCA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Turks and Caicos Islands,TCA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Tuvalu,TUV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tuvalu,TUV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Uganda,UGA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Uganda,UGA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Ukraine,UKR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,2,..,..,..,..
Ukraine,UKR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,11.3,..,..,..,..
United Arab Emirates,ARE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
United Arab Emirates,ARE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
United Kingdom,GBR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.6,0.5,..,..,..
United Kingdom,GBR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1,1,..,..,..
United States,USA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.7,0.6,1.5,1.4,..
United States,USA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1.5,1,2.2,2,..
Upper middle income,UMC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,11,9.4,9,8.4,..
Upper middle income,UMC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,33.6,29.1,28.2,26.6,..
Uruguay,URY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.7,1.6,1.5,1.6,..
Uruguay,URY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,7.1,6.7,6.3,6.6,..
Uzbekistan,UZB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,12.8,11,8.7,..
Uzbekistan,UZB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,38.1,32.4,24.6,..
Vanuatu,VUT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Vanuatu,VUT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Venezuela, RB",VEN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Venezuela, RB",VEN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Viet Nam,VNM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,6,..,6.5,..,..
Viet Nam,VNM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,20.4,..,21.5,..,..
Virgin Islands (U.S.),VIR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Virgin Islands (U.S.),VIR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
West Bank and Gaza,PSE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,8.9,..
West Bank and Gaza,PSE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,28.6,..
World,WLD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,22.5,21.7,21.1,20.5,..
World,WLD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,50.4,48.6,48,47,..
"Yemen, Rep.",YEM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Yemen, Rep.",YEM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Zambia,ZMB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,69.6,..,..
Zambia,ZMB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,94,..,..
Zimbabwe,ZWE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Zimbabwe,ZWE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,
