Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Croatia,HRV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.9,0.7,0.8,..,..
Croatia,HRV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.7,2,2.4,..,..
Cuba,CUB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cuba,CUB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Curacao,CUW,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Curacao,CUW,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Cyprus,CYP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.1,0,0,..,..
Cyprus,CYP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.2,0.1,0,..,..
Czechia,CZE,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,0.1,..,..
Czechia,CZE,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,0.3,0.6,..,..
Denmark,DNK,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.2,0.2,0.3,..,..
Denmark,DNK,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,0.3,0.8,..,..
Djibouti,DJI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Djibouti,DJI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Dominica,DMA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Dominica,DMA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Dominican Republic,DOM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,6.5,6.2,5.6,5,..
Dominican Republic,DOM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,21.7,21.8,20.2,16.9,..
Early-demographic dividend,EAR,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Early-demographic dividend,EAR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
East Asia & Pacific,EAS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,12.5,10.5,10.3,9.7,..
East Asia & Pacific,EAS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,37.7,32,31.8,30.3,..
East Asia & Pacific (excluding high income),EAP,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Ecuador,ECU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,14.8,12,11.2,11.4,..
Ecuador,ECU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,36,33.5,30.9,30.8,..
"Egypt, Arab Rep.",EGY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,16.4,..,..,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,58.5,..,..,..
El Salvador,SLV,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,12.3,11.9,10.6,..
El Salvador,SLV,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,33.5,32.7,29.9,..
Equatorial Guinea,GNQ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,23.3,..,..
Equatorial Guinea,GNQ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,58.1,..,..
Eritrea,ERI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Eritrea,ERI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Estonia,EST,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.7,0.5,0.9,..,..
Estonia,EST,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,1.6,1,2,..,..
Eswatini,SWZ,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Eswatini,SWZ,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Ethiopia,ETH,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,52.5,..,..,..
Ethiopia,ETH,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,93.5,..,..,..
Euro area,EMU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Euro area,EMU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
